Hoarding Code,City,(Area/Zone),Location / Landmark,Facing Direction,Size (Width x Height),Position,Hoarding Type,Illumination,Latitude,Longitude,Ownership,Sq. Ft.,Landlord
MERC-ME-D,Mehsana,Radhanpur Circle,"Opp. Dudh Sagar Dairy,",Palanpur to Mehsana,30 x 15,Lower,Hoarding,NL,23.6090606,72.3824254,Private,450,Mukesh Chaudhary
MERR-RC-U,Mehsana,Radhanpur Road,"Opp. DMart Mall, City Entry,",Panchot to Radhanpur Circle,60 x 20,Upper,Hoarding,NL,23.6202163,72.3435307,Private,1200,Mukesh Chaudhary
MERR-RC-D,Mehsana,Radhanpur Road,"Opp. DMart Mall, City Entry,",Panchot to Radhanpur Circle,60 x 20,Lower,Hoarding,NL,23.6202163,72.3435307,Private,1200,Mukesh Chaudhary
MERR-AR-S,Mehsana,Radhanpur Road,DMart Circle ,Bypass & Panchot to Ahmedabad & Radhanpur Circle,20 x 10,Solo,Hoarding,NL,23.6190533,72.34635,GOV - MMC,200,MMC
MERR-EX-S,Mehsana,Radhanpur Road,Dmart Mall,Exit from Dmart,20 x 15,Solo,Hoarding,NL,23.6201321,72.3449117,Private,300,Shivalik Heritage
MERR-DC-U1,Mehsana,Radhanpur Road,"Nr. Dmart Circle, Opp. Goodluck Party plot",Radhanpur Circle to Dmart Circle,30 x 20,Upper,Hoarding,NL,23.618112,72.348466,Private,600,Shaktisinh
MERR-DC-D1,Mehsana,Radhanpur Road,"Nr. Dmart Circle, Opp. Goodluck Party plot",Radhanpur Circle to Dmart Circle,30 x 20,Lower,Hoarding,NL,23.618112,72.348466,Private,600,Shaktisinh
MERR-RC-S1,Mehsana,Radhanpur Road,"Nr. Dmart Circle, Opp. Goodluck Party plot",Dmart Circle to Radhanpur Circle,30 x 15,Solo,Hoarding,NL,23.618112,72.348466,Private,450,Shaktisinh
MERR-RC-U2,Mehsana,Radhanpur Road,"Nr. Dmart Circle, Opp. Goodluck Party plot",Dmart Circle to Radhanpur Circle,30 x 20,Upper,Hoarding,NL,23.6178841,72.3490356,Private,600,Shaktisinh
MERR-RC-D2,Mehsana,Radhanpur Road,"Nr. Dmart Circle, Opp. Goodluck Party plot",Dmart Circle to Radhanpur Circle,30 x 20,Lower,Hoarding,NL,23.6178841,72.3490356,Private,600,Shaktisinh
MERR-DC-S2,Mehsana,Radhanpur Road,"Nr. Dmart Circle, Opp. Goodluck Party plot",Radhanpur Circle to Dmart Circle,15 x 30,Solo,Hoarding,NL,23.6178841,72.3490356,Private,450,Shaktisinh
MERR-DC-S3,Mehsana,Radhanpur Road,"Nr. Aelinor Hotel, Opp. Tanishq Showroom",Radhanpur Circle to Dmart Circle,40 x 30,Solo,Hoarding,NL,23.6176294,72.3494725,Private,1200,Rajubhai Patel
MERR-DC-L,Mehsana,Radhanpur Road,"Nr. Domino's Pizza, Nr, 52 Street",Radhanpur Circle to Dmart Circle,30 x 30,LHS,Hoarding,NL,23.6162047,72.3517973,Private,900,Square One Complax
MERR-DC-R,Mehsana,Radhanpur Road,"Nr. Domino's Pizza, Nr, 52 Street",Radhanpur Circle to Dmart Circle,30 x 30,RHS,Hoarding,NL,23.6162047,72.3517973,Private,900,Square One Complax
